x	y
2.98	55.3
2.94	55.3
2.5	56.1
-28.7	40.5
-30.2	41.9
-16.5	18.1
-23.9	36
-30.4	42.4
-30.1	42.2
-29.6	41.9
-29.9	42.2
35.7	-52
37.2	-9.91
34.3	-52.4
11	27.1
38	-8.71
-2.89	43.1
-30.3	43.5
-26.9	38.7
-29.3	40.7
-10.8	49.9
-29.8	43.4
-30.6	46.2
-11.2	49.2
-29.4	43
-28.2	39.9
-28.9	41.3
-29	43.8
-30.5	43.2
-30.5	42.5
-1.1	40.2
-30.9	45
-30.1	47.1
-29.9	41.3
-30	43.4
-4.74	22.6
-3.29	24.1
-30	46.8
-29.9	41.6
-30.4	44.1
-30.1	42.9
-30.7	46.5
-32.4	43.4
-31.9	44.4
-27	37.5
-29.2	42.4
-30.2	43.3
-34.1	43.1
6.18	31.5
2.8	34.9
-2.33	41.5
-3.15	43.4
1.46	35.3
6.27	31.7
2.84	34.7
11.2	25.2
4.45	18.4
14.8	23.6
14.8	23.6
-25.8	43.6
26	-3.71
26	-3.72
-53.4	20.3
-68.4	-2.53
-4.73	8.65
7.33	-3.41
-47	-15.3
11.1	-5.21
42.4	-1.55
13.6	25.3
13.5	24.6
13.9	26
13.6	26.1
15.2	23.6
14.1	26.3
13.9	26.5
12.9	27.3
14.4	26.5
13.9	27
13.4	27.3
15.5	24.7
13.7	24.1
-31.4	45.8
-29.8	48.1
-31.4	48.4
-42.6	41
-29.9	47.9
-16.3	23.3
-3.33	24.5
-2.56	24.3
12.7	23.3
12.2	25.2
12.4	25.3
12.2	24.7
11.8	25.8
32.2	37.3
8.89	25.7
4.89	24.6
7.97	23.1
8.18	23.5
16.5	24.7
-29.5	49.5
48.6	21.1
-33.9	44.8
14	24.5
7.04	25.6
6.5	25.7
7.47	25
8.82	23.7
8.05	24.1
7.05	24.5
3.08	39.8
60.4	15.8
-4.6	50.5
-4.63	50.5
-4.42	50.6
1.88	40.6
3.05	39.5
2.86	39.5
3.02	39.8
3.11	39.3
-49.5	32.8
-12.6	54.6
-31.8	-9.14
-31.8	-9.14
-12.7	54.7
2.49	40.4
2.53	40.2
3.05	40.2
3.32	39.3
-10.2	49.9
2.98	55.3
-30.1	47.5
15.8	24.3
14.7	24.1
-3.27	25.1
-31.3	48.4
-29.9	48.1
-31.9	46.2
-6.69	49.9
-4.05	47.6
-4.32	50.3
-31.5	42.1
-4.87	24.7
-28.3	42.7
-28.2	42.5
-28.2	42.4
-25.1	37.4
-30.2	42.6
3.32	39.9
60.3	15.6
-31.8	-9.25
14.5	24.9
15.3	24.6
4.56	32.2
6.4	31.1
12	26.2
-29.9	45
15.5	23.9
-31	44.6
-24.7	37.4
35.6	-48.9
-35.9	42.2
-35.5	42.6
-34.3	43.9
-35.4	42.6
-34.9	43.3
4.44	21.2
8.86	24
15.9	21.6
9.48	20.6
10	26.6
8.49	30.5
-29.9	46.7
6.44	-4.73
-63.7	-6.99
-29.2	43.7
-29.5	46.6
-49.7	32.4
13.6	25.3
-31.4	45.8
-3.35	24.4
-33.7	43
8.82	23.7
8.05	24.1
8.1	24.3
8.49	30.5
7.47	25
15.5	23.9
35.6	-48.9
-12.1	55.8
-13.1	56.8
-16.7	22.1
35.5	13.1
-29.5	42.4
-29	41
-29.1	42.8
13.4	25.3
7.41	25
7.18	24.3
2.37	34.3
-12.4	14.9
-11.4	3.72
1.92	-2.36
-41	-5.9
19.1	-2.25
5.87	34.1
6.46	32.3
5.03	29
17	40.1
-29	42.2
-29.5	48.9
-30.4	46.4
-29.5	42.2
3.3	39.8
15.5	22
-31.8	-9.28
-34.3	43.1
-29.5	43.9
6.48	30.2
-41.7	-7.43
-29	44.9
-29.3	45.5
-31.5	44.7
-30	42.6
-30.5	43.2
15	21.7
13.7	20.3
14.3	20.9
14.3	21.1
14.4	21.3
-23.8	43
-27.2	42.3
-26.7	49.8
-24.9	44.5
-27.6	43.4
-23.1	31.2
-27.4	49
-27.1	48
5.02	60.2
-24.5	45.4
-23.4	43
-27	47.6
-26.4	42.6
-27.6	46
-26.5	40.4
