x	y	cat1	cat2
2.98	55.3	Dairy and Egg Products	7
2.94	55.3	Dairy and Egg Products	7
2.5	56.1	Dairy and Egg Products	7
-28.7	40.5	Dairy and Egg Products	7
-30.2	41.9	Dairy and Egg Products	7
-16.5	18.1	Dairy and Egg Products	7
-23.9	36.0	Dairy and Egg Products	7
-30.4	42.4	Dairy and Egg Products	7
-30.1	42.2	Dairy and Egg Products	7
-29.6	41.9	Dairy and Egg Products	7
-29.9	42.2	Dairy and Egg Products	7
35.7	-52.0	Dairy and Egg Products	7
37.2	-9.91	Dairy and Egg Products	7
34.3	-52.4	Dairy and Egg Products	7
11.0	27.1	Dairy and Egg Products	7
38.0	-8.71	Dairy and Egg Products	7
-2.89	43.1	Dairy and Egg Products	7
-30.3	43.5	Dairy and Egg Products	7
-26.9	38.7	Dairy and Egg Products	7
-29.3	40.7	Dairy and Egg Products	7
-10.8	49.9	Dairy and Egg Products	7
-29.8	43.4	Dairy and Egg Products	7
-30.6	46.2	Dairy and Egg Products	7
-11.2	49.2	Dairy and Egg Products	7
-29.4	43.0	Dairy and Egg Products	7
-28.2	39.9	Dairy and Egg Products	7
-28.9	41.3	Dairy and Egg Products	7
-29.0	43.8	Dairy and Egg Products	7
-30.5	43.2	Dairy and Egg Products	7
-30.5	42.5	Dairy and Egg Products	7
-1.1	40.2	Dairy and Egg Products	7
-30.9	45.0	Dairy and Egg Products	7
-30.1	47.1	Dairy and Egg Products	7
-29.9	41.3	Dairy and Egg Products	7
-30.0	43.4	Dairy and Egg Products	7
-4.74	22.6	Dairy and Egg Products	7
-3.29	24.1	Dairy and Egg Products	7
-30.0	46.8	Dairy and Egg Products	7
-29.9	41.6	Dairy and Egg Products	7
-30.4	44.1	Dairy and Egg Products	7
-30.1	42.9	Dairy and Egg Products	7
-30.7	46.5	Dairy and Egg Products	7
-32.4	43.4	Dairy and Egg Products	7
-31.9	44.4	Dairy and Egg Products	7
-27.0	37.5	Dairy and Egg Products	7
-29.2	42.4	Dairy and Egg Products	7
-30.2	43.3	Dairy and Egg Products	7
-34.1	43.1	Dairy and Egg Products	7
6.18	31.5	Dairy and Egg Products	7
2.8	34.9	Dairy and Egg Products	7
-2.33	41.5	Dairy and Egg Products	7
-3.15	43.4	Dairy and Egg Products	7
1.46	35.3	Dairy and Egg Products	7
6.27	31.7	Dairy and Egg Products	7
2.84	34.7	Dairy and Egg Products	7
11.2	25.2	Dairy and Egg Products	7
4.45	18.4	Dairy and Egg Products	7
14.8	23.6	Dairy and Egg Products	7
14.8	23.6	Dairy and Egg Products	7
-25.8	43.6	Dairy and Egg Products	7
26.0	-3.71	Dairy and Egg Products	7
26.0	-3.72	Dairy and Egg Products	7
-53.4	20.3	Dairy and Egg Products	7
-68.4	-2.53	Dairy and Egg Products	7
-4.73	8.65	Dairy and Egg Products	7
7.33	-3.41	Dairy and Egg Products	7
-47.0	-15.3	Dairy and Egg Products	7
11.1	-5.21	Dairy and Egg Products	7
42.4	-1.55	Dairy and Egg Products	7
13.6	25.3	Dairy and Egg Products	7
13.5	24.6	Dairy and Egg Products	7
13.9	26.0	Dairy and Egg Products	7
13.6	26.1	Dairy and Egg Products	7
15.2	23.6	Dairy and Egg Products	7
14.1	26.3	Dairy and Egg Products	7
13.9	26.5	Dairy and Egg Products	7
12.9	27.3	Dairy and Egg Products	7
14.4	26.5	Dairy and Egg Products	7
13.9	27.0	Dairy and Egg Products	7
13.4	27.3	Dairy and Egg Products	7
15.5	24.7	Dairy and Egg Products	7
13.7	24.1	Dairy and Egg Products	7
-31.4	45.8	Dairy and Egg Products	7
-29.8	48.1	Dairy and Egg Products	7
-31.4	48.4	Dairy and Egg Products	7
-42.6	41.0	Dairy and Egg Products	7
-29.9	47.9	Dairy and Egg Products	7
-16.3	23.3	Dairy and Egg Products	7
-3.33	24.5	Dairy and Egg Products	7
-2.56	24.3	Dairy and Egg Products	7
12.7	23.3	Dairy and Egg Products	7
12.2	25.2	Dairy and Egg Products	7
12.4	25.3	Dairy and Egg Products	7
12.2	24.7	Dairy and Egg Products	7
11.8	25.8	Dairy and Egg Products	7
32.2	37.3	Dairy and Egg Products	7
8.89	25.7	Dairy and Egg Products	7
4.89	24.6	Dairy and Egg Products	7
7.97	23.1	Dairy and Egg Products	7
8.18	23.5	Dairy and Egg Products	7
16.5	24.7	Dairy and Egg Products	7
-29.5	49.5	Dairy and Egg Products	7
48.6	21.1	Dairy and Egg Products	7
-33.9	44.8	Dairy and Egg Products	7
14.0	24.5	Dairy and Egg Products	7
7.04	25.6	Dairy and Egg Products	7
6.5	25.7	Dairy and Egg Products	7
7.47	25.0	Dairy and Egg Products	7
8.82	23.7	Dairy and Egg Products	7
8.05	24.1	Dairy and Egg Products	7
7.05	24.5	Dairy and Egg Products	7
3.08	39.8	Dairy and Egg Products	7
60.4	15.8	Dairy and Egg Products	7
-4.6	50.5	Dairy and Egg Products	7
-4.63	50.5	Dairy and Egg Products	7
-4.42	50.6	Dairy and Egg Products	7
1.88	40.6	Dairy and Egg Products	7
3.05	39.5	Dairy and Egg Products	7
2.86	39.5	Dairy and Egg Products	7
3.02	39.8	Dairy and Egg Products	7
3.11	39.3	Dairy and Egg Products	7
-49.5	32.8	Dairy and Egg Products	7
-12.6	54.6	Dairy and Egg Products	7
-31.8	-9.14	Dairy and Egg Products	7
-31.8	-9.14	Dairy and Egg Products	7
-12.7	54.7	Dairy and Egg Products	7
2.49	40.4	Dairy and Egg Products	7
2.53	40.2	Dairy and Egg Products	7
3.05	40.2	Dairy and Egg Products	7
3.32	39.3	Dairy and Egg Products	7
-10.2	49.9	Dairy and Egg Products	7
2.98	55.3	Dairy and Egg Products	7
-30.1	47.5	Dairy and Egg Products	7
15.8	24.3	Dairy and Egg Products	7
14.7	24.1	Dairy and Egg Products	7
-3.27	25.1	Dairy and Egg Products	7
-31.3	48.4	Dairy and Egg Products	7
-29.9	48.1	Dairy and Egg Products	7
-31.9	46.2	Dairy and Egg Products	7
-6.69	49.9	Dairy and Egg Products	7
-4.05	47.6	Dairy and Egg Products	7
-4.32	50.3	Dairy and Egg Products	7
-31.5	42.1	Dairy and Egg Products	7
